                                     Step 3b-F1: Bin Activity by Year - Commercial                                      

bin_year  n_active_patients  dm_bins  dfu_bins
--------  -----------------  -------  --------
  2017.0                  2        2         1
  2018.0                  1        1         0
  2019.0                  1        1         1
  2020.0                  1        1         1
  2021.0                  1        1         1
  2022.0                  1        2         1
                                      Step 3b-F2: Bin Activity by Year - Medicare                                       

bin_year  n_active_patients  dm_bins  dfu_bins
--------  -----------------  -------  --------
  2017.0                  2        2         1
  2018.0                  1        1         1
  2019.0                  1        1         1
  2020.0                  1        1         1
  2021.0                  1        1         1
  2022.0                  1        1         0
                                   Step 3b-F3: Half-Year Bin Distribution (Combined)                                    

bin_year  half  dm_bins  dfu_bins
--------  ----  -------  --------
  2017.0   1.0        2         1
  2017.0   2.0        2         1
  2018.0   1.0        1         0
  2018.0   2.0        1         1
  2019.0   1.0        2         2
  2020.0   1.0        1         1
  2020.0   2.0        1         1
  2021.0   1.0        1         1
  2021.0   2.0        1         1
  2022.0   1.0        2         0
  2022.0   2.0        1         1
                                    Step 3b-F4: Seasonal Bin Distribution (Combined)                                    

season_year  season  dm_bins  dfu_bins
-----------  ------  -------  --------
     2017.0       A        2         1
     2017.0       S        1         0
     2017.0       U        1         1
     2018.0       A        1         1
     2018.0       S        1         0
     2019.0       S        1         1
     2019.0       U        1         1
     2020.0       S        1         1
     2021.0       S        1         1
     2021.0       W        1         1
     2022.0       A        1         1
     2022.0       U        2         0
     2022.0       W        1         1
